nctid,drug,readout_date,label,after_lock_0729,Opus 5 zero-shot,GPT-5.6 zero-shot,Opus 4.8 zero-shot,Opus 5 reasoning,GPT-5.6 reasoning,v1 p_llm,v1 p_tabpfn3,v1 p_sft,v1 ens_rank,v1 ens_simple,v2 p_llm,v2 p_tabpfn3,v2 p_sft,v2 ens_rank,v2 ens_simple
NCT06407934,Amlitelimab; Placebo,2026-07-24,0,0,0.1200,0.8400,0.8800,0.7500,0.0050,0.6687,0.9586,0.9047,0.9513,0.8440,0.6813,0.9364,0.9047,0.9560,0.8408
NCT06987513,Pemvidutide; Placebo,2026-07-28,1,0,0.6200,0.7200,0.6000,0.2350,0.3550,0.2425,0.2398,0.1824,0.2213,0.2216,0.2712,0.2109,0.1824,0.2109,0.2215
NCT06868264,Bemnifosbuvir-Ruzasvir (B,2026-07-28,1,0,0.7500,0.7200,0.7200,0.6250,0.8800,0.3030,0.6963,0.8176,0.6733,0.6056,0.5687,0.6786,0.8176,0.8496,0.6883
NCT07344558,MNKD-201(Nintedanib DPI);,2026-07-29,1,0,0.9200,0.9900,0.9100,0.7300,0.6900,0.6787,0.5372,0.3208,0.7220,0.5122,0.6550,0.5198,0.3208,0.7154,0.4985
NCT05611931,Matching Placebo for seli,2026-07-30,0,1,0.6900,0.6600,0.5400,0.3450,0.6500,0.4913,0.4705,0.2061,0.5059,0.3893,0.3750,0.2219,0.2227,0.2931,0.2732
NCT06072183,Placebo; Ritlecitinib,2026-07-30,1,1,0.8600,0.7500,0.8000,0.6250,0.6600,0.4688,0.6707,0.9047,0.7801,0.6814,0.5075,0.6440,0.9047,0.7976,0.6854
NCT05021835,Placebo (Ziltivekimab B);,2026-07-31,0,1,0.6300,0.6200,0.6000,0.7950,0.3950,0.4800,0.2255,0.7058,0.5433,0.4704,0.4487,0.2997,0.7058,0.5688,0.4847
NCT05211895,Domvanalimab; Durvalumab;,2026-08-05,0,1,0.1200,0.1700,0.1500,0.1400,0.0120,0.3225,0.1134,0.4839,0.3154,0.3066,0.3250,0.0956,0.5000,0.3054,0.3069
NCT06809179,Fasedienol Nasal Spray - ,2026-08-06,0,1,0.2000,0.3500,0.2800,0.3200,0.2600,0.2200,0.3797,0.4378,0.4227,0.3458,0.2025,0.4466,0.4378,0.4435,0.3623
NCT05983250,Placebo; TNX-103,2026-08-10,0,1,0.3600,0.4400,0.4500,0.2050,0.4000,0.3438,0.1617,0.2227,0.2359,0.2427,0.3025,0.2886,0.2227,0.3130,0.2713
NCT07035990,Placebo SION-109; Placebo,2026-08-10,1,1,0.8800,0.7900,0.8600,0.7700,0.6550,0.6112,0.4208,0.5000,0.7248,0.5107,0.6088,0.3986,0.5000,0.7191,0.5024
NCT07118891,ABCL635; Placebo,2026-08-10,1,1,0.8500,0.7000,0.6400,0.6250,0.6150,0.5250,0.3600,0.5927,0.6582,0.4926,0.5000,0.2703,0.5927,0.5783,0.4543
NCT07108153,Placebo-to-match SION-719,2026-08-10,0,1,0.6800,0.7300,0.7000,0.3350,0.4250,0.2537,0.3539,0.4073,0.4236,0.3383,0.2300,0.2150,0.4073,0.3125,0.2841
NCT05499013,Placebo; SLN124,2026-08-10,1,1,0.8000,0.7900,0.8000,0.8550,0.6500,0.6462,0.2827,0.3486,0.6180,0.4258,0.6062,0.2299,0.3486,0.5400,0.3949
NCT05973773,TAS6417,2026-08-12,1,1,0.8500,0.8000,0.8300,0.7000,0.6250,0.4900,0.6210,0.7311,0.7414,0.6140,0.5475,0.5825,0.7311,0.7811,0.6204
NCT06741228,DT120; Placebo,2026-08-12,1,1,0.8600,0.8800,0.7300,0.6250,0.4150,0.3875,0.4588,0.7549,0.6388,0.5337,0.4550,0.3419,0.7549,0.6137,0.5173
NCT02704858,Perillyl alcohol,2026-08-12,1,1,0.8600,0.7600,0.8200,0.6800,0.4150,0.4637,0.1073,0.0953,0.1844,0.2221,0.4963,0.1123,0.0953,0.2128,0.2346
NCT05261399,Carboplatin; Cisplatin; O,2026-08-16,1,1,0.8800,0.9100,0.8700,0.8250,0.6900,0.5875,0.8495,0.2689,0.7069,0.5686,0.6312,0.8799,0.2689,0.7338,0.5934
NCT06668064,Aflibercept (2.0 mg); EYP,2026-08-17,0,1,0.7200,0.7700,0.6000,0.3950,0.7400,0.3950,0.3455,0.9399,0.6355,0.5601,0.4000,0.3484,0.9399,0.6388,0.5628
NCT05048797,Carboplatin; Cisplatin; P,2026-08-17,1,1,0.8000,0.7300,0.8000,0.6700,0.7000,0.6112,0.5587,0.9526,0.8917,0.7075,0.6438,0.7445,0.9526,0.9452,0.7803
NCT05523167,EFG PH20 SC; PBO,2026-08-17,1,1,0.8100,0.8200,0.7100,0.7950,0.4350,0.3060,0.4465,0.9399,0.6492,0.5641,0.3750,0.4615,0.9399,0.6775,0.5921
NCT06747468,Avexitide; Placebo,2026-08-18,1,1,0.7800,0.7300,0.7300,0.8400,0.4950,0.3875,0.3877,0.4073,0.5144,0.3942,0.4537,0.4396,0.4073,0.5641,0.4336
NCT05933577,Intismeran autogene; Pemb,2026-08-19,1,1,0.5700,0.7700,0.6600,0.5100,0.5000,0.5200,0.5819,0.9669,0.8307,0.6896,0.5725,0.7352,0.9669,0.9054,0.7582
NCT05997056,nab-sirolimus,2026-08-25,0,1,0.0700,0.1400,0.1500,0.1250,0.0700,0.3075,0.2800,0.2942,0.3641,0.2939,0.2925,0.2312,0.2942,0.3087,0.2727
NCT05583227,Placebo; Tezepelumab,2026-08-27,1,1,0.5700,0.5600,0.5400,0.7750,0.5200,0.5437,0.3937,0.5698,0.6913,0.5024,0.5475,0.2630,0.6225,0.6213,0.4776
